run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run1,f_dataset-MH02_stereo_imu,GT_MH02,0.034577793046924925,0.028515835970604086,0.10707940424455929,0.019556862501269767,0.02270504975312511,0.9999706803068585
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run10,f_dataset-MH02_stereo_imu,GT_MH02,0.027543314504975894,0.022626841976390314,0.0873066731946234,0.015705419322497458,0.017751687570538223,0.9993044362377731
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run2,f_dataset-MH02_stereo_imu,GT_MH02,0.033855508805431776,0.028404027198926807,0.09933472468551587,0.018422994201738607,0.022167328672160216,1.001030789033694
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run3,f_dataset-MH02_stereo_imu,GT_MH02,0.026493705602115645,0.022467877013060834,0.07419579986234105,0.014039620331673733,0.018275687130666362,0.9986301605436781
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run4,f_dataset-MH02_stereo_imu,GT_MH02,0.027174907545290797,0.02367136174744693,0.06883466679185629,0.01334699341112481,0.018386964654928492,1.0002332533476426
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run5,f_dataset-MH02_stereo_imu,GT_MH02,0.031071191648019584,0.026792728850776434,0.08905674899116943,0.015734313812706742,0.02091105514532341,1.0007500432440493
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run6,f_dataset-MH02_stereo_imu,GT_MH02,0.03291829545305292,0.02983062086471656,0.0779240722159093,0.013919347483270245,0.025796376915533218,1.0025015834332927
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run7,f_dataset-MH02_stereo_imu,GT_MH02,0.02289391918348633,0.02031434082192529,0.05510653530485664,0.010557418839406876,0.01768897734309441,0.9986467759149528
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run8,f_dataset-MH02_stereo_imu,GT_MH02,0.040080783807806025,0.03535059893804799,0.10739759442537601,0.018889266406331554,0.02934466183217626,1.0027209071276864
2026-01-31_09-47-10_result_normal_MH02_MaskRandom_run9,f_dataset-MH02_stereo_imu,GT_MH02,0.03921417210883642,0.03238093220114564,0.11337342935690119,0.022118465678393102,0.024534322505582098,0.9997547489627722
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run1,f_dataset-MH03_stereo_imu,GT_MH03,0.029341132667952016,0.026061668076855796,0.11752384552188339,0.013479299807117439,0.02501746200142017,1.000885581900975
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run10,f_dataset-MH03_stereo_imu,GT_MH03,0.03033578374306283,0.02707424762815198,0.1204833741812856,0.013683745491472062,0.025885984286740278,1.0018718283555035
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run2,f_dataset-MH03_stereo_imu,GT_MH03,0.027581051026539086,0.024207863731410064,0.11233044128896698,0.013217174784727403,0.022174424090863475,1.0006579807153586
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run3,f_dataset-MH03_stereo_imu,GT_MH03,0.026872652502179937,0.023542870845233092,0.10415200670087549,0.012956569178127035,0.02305661292704027,0.9999275780456129
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run4,f_dataset-MH03_stereo_imu,GT_MH03,0.030149021332188043,0.026608503538910536,0.12095392809594316,0.014175719618718295,0.025291503164999236,1.000563607408286
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run5,f_dataset-MH03_stereo_imu,GT_MH03,0.025895153734531738,0.022340907811119956,0.09673700376491882,0.013093617724298822,0.0205444021850609,0.9986892648923154
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run6,f_dataset-MH03_stereo_imu,GT_MH03,0.025356326783338753,0.021975766657259352,0.10260786534627772,0.01264946590845441,0.019958274296662627,1.0004986219403635
2026-01-31_09-47-10_result_normal_MH03_MaskRandom_run7,f_dataset-MH03_stereo_imu,GT_MH03,0.028079893274393624,0.024934987574159392,0.11460635303333656,0.012912273269175073,0.02381172725893794,1.0010880761353094
